0,1,2,3
10.0,Administration,200.0,1700.0
20.0,Marketing,201.0,1800.0
30.0,Purchasing,114.0,1700.0
40.0,Human Resources,203.0,2400.0
50.0,Shipping,121.0,1500.0
60.0,IT,103.0,1400.0
70.0,Public Relations,204.0,2700.0
80.0,Sales,145.0,2500.0
90.0,Executive,100.0,1700.0
100.0,Finance,108.0,1700.0
110.0,Accounting,205.0,1700.0
120.0,Treasury,,1700.0
130.0,Corporate Tax,,1700.0
140.0,Control And Credit,,1700.0
150.0,Shareholder Services,,1700.0
160.0,Benefits,,1700.0
170.0,Manufacturing,,1700.0
180.0,Construction,,1700.0
190.0,Contracting,,1700.0
200.0,Operations,,1700.0
210.0,IT Support,,1700.0
220.0,NOC,,1700.0
230.0,IT Helpdesk,,1700.0
240.0,Government Sales,,1700.0
250.0,Retail Sales,,1700.0
260.0,Recruiting,,1700.0
270.0,Payroll,,1700.0
